"job_id","title","date_range"
6196,"Ssr Software Developer Analyst","December 2017 – June 2019(1 year 6 months)Ciudad autonoma de buenos aires"
6197,"Ssr Software Developer Analyst","April 2017 – December 2017(8 months)Capital Federal, Argentina"
6198,"Junior Software Developer","June 2014 – March 2017(2 years 9 months)Capital Federal, Argentina"
6199,"Senior Software Developer Analyst","June 2019 – Present(9 months)Capital Federal, Argentina"
6201,"Senior Software Developer","August 2008 – Present(11 years 7 months)Rochester y alrededores, Nueva York, Estados Unidos"
6202,"Software Developer","January 2014 – Present(6 years 2 months)Buenos Aires City"
6203,"Full Stack Developer","June 2019 – January 2020(7 months)Argentina"
6204,"Full Stack Developer","November 2018 – January 2019(2 months)Buenos Aires City"
6205,"Web Developer","January 2020 – Present(2 months)Buenos Aires"
6206,"Administrativo contable","July 2013 – January 2014(6 months)Buenos Aires, Argentina"
6207,"Backend Developer","May 2018 – Present(1 year 10 months)Buenos Aires, Argentina"
6223,"IT Audit Trainee","November 2017 – April 2019(1 year 5 months)Greater Buenos Aires, Argentina"
6224,"Industrial Automation Intern","November 2016 – October 2017(11 months)Greater Buenos Aires, Argentina"
6225,"Software Developer","November 2019 – Present(4 months)Greater Buenos Aires, Argentina"
6226,"Ayudante de 1º","September 2009 – Present(10 years 6 months)"
6227,"Desarrollador","June 2011 – January 2018(6 years 7 months)"
6228,"Desarrollador","December 2006 – June 2011(4 years 6 months)"
6229,"Ayudante de 2º","July 2007 – September 2009(2 years 2 months)"
6230,"Developer","January 2018 – Present(2 years 2 months)Argentina"
6234,"Consultor BI","June 2018 – January 2019(7 months)Buenos Aires, Argentina"
6235,"Consultor BI","July 2017 – May 2018(10 months)Buenos Aires, Argentina"
6236,"Software Developer","January 2019 – Present(1 year 2 months)Buenos Aires, Argentina"
6252,"Python Developer","November 2019 – Present(4 months)Cordoba, Argentina"
6253,"Freelance","November 2016 – Present(3 years 4 months)"
6254,"Desarrollador de sitios web","November 2018 – April 2019(5 months)"
6255,"Desarrollador Web Magento/Vtex","November 2016 – March 2018(1 year 4 months)"
6256,"Desarrollador de back-end","November 2019 – Present(4 months)Córdoba"
6275,"Front-end Developer","November 2017 – Present(2 years 4 months)Argentina"
6297,"Software Developer","March 2013 – February 2015(1 year 11 months)"
6298,"Software Developer","March 2008 – February 2013(4 years 11 months)"
6299,"Software Developer","February 2015 – Present(5 years 1 month)"
6320,"Software Developer","June 2013 – May 2018(4 years 11 months)Argentina"
6321,"Software Engineer - Backend","June 2018 – Present(1 year 9 months)Argentina"
6329,"Software engineer","February 2015 – Present(5 years 1 month)Argentina"
6330,"Software Engineer (contractor)","January 2016 – December 2017(1 year 11 months)Córdoba Province, Argentina"
6331,"Software Engineer (contractor)","December 2015 – January 2016(1 month)Greater Buenos Aires, Argentina"
6332,"Software Engineer (contractor)","February 2013 – February 2015(2 years)Córdoba, Argentina"
6333,"Researcher in the Software Defined Radio Lab.","March 2011 – November 2011(8 months)Córdoba, Córdoba, Argentina"
6334,"Software Engineer","February 2018 – Present(2 years 1 month)Córdoba Province, Argentina"
6344,"Android / iOS Developer","August 2015 – October 2018(3 years 2 months)"
6345,"Android Developer","September 2013 – June 2015(1 year 9 months)"
6346,"Project Leader","March 2013 – August 2013(5 months)"
6347,"Junior Developer in iOS","March 2012 – March 2013(1 year)Argentina"
6348,"Android/iOS developer","February 2019 – Present(1 year 1 month)Argentina"
6349,"General Manager","April 2014 – Present(5 years 11 months)Tucumán, Argentina"
6350,"Senior Software Developer","November 2018 – September 2019(10 months)Ámsterdam y alrededores, Países Bajos"
6351,"Lead Software Engineer","September 2017 – October 2018(1 year 1 month)"
6352,"Scrum Master and Project Manager","July 2016 – March 2017(8 months)Tucumán, Argentina"
6353,"Software Engineer III","October 2015 – July 2016(9 months)Tucumán, Argentina"
6354,"Semi Senior Developer C++","October 2014 – October 2015(1 year)Tucumán, Argentina"
6355,"Web Analyst","November 2012 – January 2013(2 months)Argentina"
6356,"On charge of Technological Projects","March 2008 – July 2012(4 years 4 months)Argentina"
6357,"Functional Analyst","January 2012 – April 2012(3 months)Argentina"
6358,"Professor","March 2011 – December 2011(9 months)Argentina"
6359,"Manager - Project Leader - Own Entrepreneurship","August 2009 – December 2010(1 year 4 months)Argentina"
6360,"Full Stack Developer at Guidion","October 2019 – Present(5 months)Amstedam"
6369,"Full Stack Web Developer","February 2017 – May 2018(1 year 3 months)Argentina"
6370,"Web Developer","March 2014 – February 2017(2 years 11 months)Argentina"
6371,"Full Stack Developer","May 2018 – Present(1 year 10 months)Argentina"
6396,"Software Developer","July 2017 – Present(2 years 8 months)Greater Buenos Aires, Argentina"
6402,"Leader of Development Team","February 2018 – Present(2 years 1 month)Santa Fe Province, Argentina"
6403,"Functional Analyst - Scrum Master","May 2016 – January 2018(1 year 8 months)Sunchales, Santa Fe, Argentina"
6404,"Full-stack developer","April 2015 – April 2016(1 year)Santa Fe Province, Argentina"
6405,"Functional Analyst","January 2014 – April 2014(3 months)San Nicolas, Buenos Aires, Argentina"
6406,"Full-stack Developer","April 2019 – Present(11 months)"
6407,".Net Lider Tecnico","February 2019 – August 2019(6 months)Córdoba Province, Argentina"
6408,"Professor of programming (Suppleness)","April 2019 – July 2019(3 months)Rio Reconquista, La Calera, Córdoba, Argentina"
6409,"Desarrollador FullStack .Net","March 2018 – February 2019(11 months)Argentina"
6410,".Net / AngularJS Developer","November 2017 – March 2018(4 months)Baltimore 876, Cordoba"
6411,".Net / AngularJS developer","April 2016 – April 2017(1 year)Córdoba, Argentina"
6412,".Net / AngularJs developer","February 2015 – April 2016(1 year 2 months)Córdoba, Argentina"
6413,".Net Developer","February 2014 – February 2015(1 year)Buenos Aires, Argentina"
6414,".Net developer","January 2013 – February 2014(1 year 1 month)Rivadavia 1757"
6415,"Programmer","January 2012 – January 2013(1 year)"
6416,"Interfaces","August 2011 – July 2012(11 months)Buenos aires"
6417,"Testing assistant","September 2010 – August 2011(11 months)Buenos Aires"
6418,"Programador Full Stack","September 2019 – Present(6 months)Córdoba Province, Argentina"
6424,"Web Developer / Designer","November 2011 – August 2015(3 years 9 months)Buenos Aires, Argentina"
6425,"Web Designer","October 2010 – November 2011(1 year 1 month)Buenos Aires, Argentina"
6426,"Web Designer","December 2009 – July 2010(7 months)Melbourne, Australia"
6427,"Web Designer","July 2008 – June 2009(11 months)Bogotá, Colombia"
6428,"Web Designer (New Media Creator)","August 2007 – July 2008(11 months)Bogotá, Colombia"
6429,"Web Designer","November 2006 – May 2007(6 months)Bogotá, Colombia"
6430,"Frontend Developer","March 2016 – Present(4 years)Buenos Aires, Argentina"
6431,"Software Programmer","January 2018 – Present(2 years 2 months)Tandil, Buenos Aires"
6438,"Full Stack Developer","November 2016 – June 2019(2 years 7 months)Avenida Corrientes 2560 (C1046AAQ), Once, Ciudad de Buenos Aires, Argentina"
6439,"Full Stack Developer","June 2019 – Present(9 months)Greater Buenos Aires, Argentina"
6440,"Software Developer","October 2015 – July 2016(9 months)Cordoba, Argentina"
6441,"Software Developer","August 2014 – October 2015(1 year 2 months)Cordoba, Argentina"
6442,"Software Development Analyst","October 2014 – March 2015(5 months)Cordoba, Argentina"
6443,"Software Developer","May 2014 – August 2014(3 months)Cordoba, Argentina"
6444,"Software Developer","July 2013 – August 2014(1 year 1 month)Cordoba, Argentina"
6445,"Operations Manager","July 2012 – July 2013(1 year)Fiat auto, IVECO argentina"
6446,"Technical Support","June 2011 – July 2012(1 year 1 month)"
6447,"Full Stack Software Engineer","July 2016 – Present(3 years 8 months)Córdoba Province, Argentina"
6448,"Back Office Manager","March 2016 – September 2018(2 years 6 months)Donado 2415, Villa Urquiza"
6449,"Back-end Developer","September 2018 – Present(1 year 6 months)Argentina"
6459,"Developer","October 2018 – Present(1 year 5 months)Greater Buenos Aires, Argentina"
6460,"Full Stack Developer","2009 – Present"
6461,"Software Developer","June 2017 – Present(2 years 9 months)Buenos Aires"
6480,"Android Developer","April 2017 – September 2018(1 year 5 months)Tandil"
6481,"Teaching Assistant","March 2015 – July 2018(3 years 4 months)"
6482,"Teaching Assistant","July 2017 – December 2017(5 months)Tandil"
6483,"Software Engineer","October 2018 – Present(1 year 5 months)"
6489,"backend","January 2019 – Present(1 year 2 months)"
6490,"Programador PHP","February 2017 – December 2019(2 years 10 months)Capital Federal - Buenos Aires"
6491,"Programador","September 2016 – February 2017(5 months)Florida - Buenos Aires"
6492,"Web Developer","December 2019 – Present(3 months)"
6497,"CTO","August 2016 – Present(3 years 8 months)Remote"
6498,"Toptal Software Engineer","August 2017 – Present(2 years 8 months)Remote"
6499,"React Native Developer","October 2018 – May 2019(7 months)San Francisco Bay Area - Remote"
6500,"Senior Python Developer","March 2018 – August 2018(5 months)Greater New York City Area - Remote"
6501,"Senior Full Stack/Python Engineer, Team Lead","March 2015 – August 2017(2 years 5 months)Poznań"
6502,"Senior Python Engineer","April 2014 – March 2015(11 months)Poznań"
6503,"Technical Referent","March 2013 – April 2014(1 year 1 month)Poznań Area, Poland"
6504,"Software Engineer","June 2012 – April 2014(1 year 10 months)Poznań Area, Poland"
6505,"Web Developer","January 2007 – December 2010(3 years 11 months)"
6506,"DevOps/Full-stack Engineer","October 2018 – Present(1 year 6 months)London, United Kingdom - Remote"
6507,"Symfony Developer","April 2017 – April 2017via Toptal"
6508,"Web Developer","May 2016 – November 2016(6 months)"
6509,"Full-Stack Developer","February 2016 – August 2016(6 months)"
6510,"Senior PHP Developer","July 2015 – February 2016(7 months)Moscow, Russian Federation"
6511,"Head of the Application Programming Department","October 2013 – July 2015(1 year 9 months)Moscow"
6512,"Senior web-developer","November 2012 – October 2013(11 months)Moscow"
6513,"Web Developer","August 2011 – November 2012(1 year 3 months)Moscow"
6514,"Laravel Developer","May 2017 – Present(2 years 11 months)via Toptal"
6533,"Full-Stack .Net developer","June 2014 – Present(5 years 10 months)Cairo Governorate, Egypt"
6534,"Senior Software Engineer","November 2018 – August 2019(9 months)Al-Riyadh Governorate, Saudi Arabia"
6535,"Freelance Front-End Developer (via Toptal)","January 2019 – June 2019(5 months)"
6536,"Senior Software Engineer","May 2018 – October 2018(5 months)Cairo Governorate, Egypt"
6537,"Software Engineer III","March 2018 – October 2018(7 months)Cairo Governorate, Egypt"
6538,"Backend Developer (part time via Upwork)","April 2018 – August 2018(4 months)"
6539,"Software Engineer","July 2017 – May 2018(10 months)Cairo Governorate, Egypt"
6540,"Software Developer","May 2017 – June 2017(1 month)Cairo Governorate, Egypt"
6541,"Junior .Net Developer","April 2016 – July 2016(3 months)Port Said Governorate, Egypt"
6542,"Freelance Full-Stack Developer","August 2017 – Present(2 years 8 months)"
6554,"Freelance Software Developer","March 2018 – Present(2 years 1 month)"
6555,"Freelance Python Developer","June 2019 – Present(10 months)United States"
6556,"Freelance Java, Front-End, and Ionic Developer (via Toptal)","June 2018 – June 2019(1 year)United Kingdom"
6557,"Freelance Java and Angular Developer (via Toptal)","March 2019 – March 2019United Arab Emirates"
6558,"Freelance Java Developer (via Toptal)","July 2017 – November 2018(1 year 4 months)United States"
6559,"Java, Node.js, and Oracle PL/SQL Developer","May 2010 – June 2018(8 years 1 month)Geogria, Tbilisi"
6560,"Freelance NodeJS Developer (via Toptal)","January 2018 – April 2018(3 months)United States"
6561,"Freelance Java Developer (via Toptal)","September 2017 – January 2018(4 months)United States"
6562,"Java and ExtJS Developer","January 2015 – July 2017(2 years 6 months)Georgia, Tbilisi"
6563,"Assistant Lecturer at School of Mathematics and Computer Science","September 2014 – September 2015(1 year)Georgia, Tbilisi"
6564,"Assistant Lecturer at Faculty of Exact and Natural Sciences","September 2011 – December 2013(2 years 3 months)Georgia, Tbilisi"
6565,"Blackberry Mobile Developer","May 2008 – May 2010(2 years)Geogria, Tbilisi"
6566,"Freelance Software Developer","June 2017 – Present(2 years 10 months)Georgia, Tbilisi"
6578,"Software Developer","February 2016 – Present(4 years 2 months)"
6579,"General Manager (Chief Developer)","May 2008 – Present(11 years 11 months)Mountain View, CA, USA"
6580,"Contract programmer","March 2007 – September 2007(6 months)"
6581,"Software engineer","July 1994 – December 2005(11 years 5 months)"
6582,"Software engineer","September 1987 – June 1994(6 years 9 months)"
6583,"Software engineer (co-founder)","September 1984 – March 1986(1 year 6 months)"
6584,"Software engineer","July 1978 – August 1984(6 years 1 month)"
6585,"Software Developer","February 2018 – Present(2 years 2 months)Watertown, MA"
6586,"Client Experience Specialist","May 2017 – February 2019(1 year 9 months)Remote position"
6587,"Support Specialist","June 2016 – April 2017(10 months)Remote position"
6588,"Office/Project Manager","April 2015 – May 2016(1 year 1 month)Sarajevo"
6589,"Sales and Customer Relations Coordinator","September 2013 – March 2015(1 year 6 months)Sarajevo"
6590,"Client Experience Manager","March 2019 – Present(1 year 1 month)Remote"
6599,"Front-End Developer","July 2017 – Present(2 years 9 months)Remote"
6600,"Front-End Developer (via Toptal)","September 2018 – December 2018(3 months)Remote"
6601,"Senior Front-End Developer","May 2016 – September 2018(2 years 4 months)Germany/Remote"
6602,"Front-End Developer (via Toptal)","January 2018 – April 2018(3 months)Remote"
6603,"Front-End Developer","April 2016 – August 2017(1 year 4 months)Remote"
6604,"Front-End Developer","July 2015 – April 2016(9 months)Remote"
6605,"Front-end Developer","February 2013 – June 2015(2 years 4 months)Remote"
6606,"Front-End Developer","February 2019 – Present(1 year 2 months)"
6607,"Machine Learning Engineer (freelance, working via TopTal)","July 2019 – Present(9 months)"
6608,"Co-Founder and CEO","April 2018 – January 2019(9 months)"
6609,"Product Manager","November 2016 – September 2017(10 months)"
6610,"Member of the Board","2015 – September 2017"
6611,"Head of Research and Education Center","September 2012 – September 2017(5 years)"
6612,"Machine Learning Engineer","September 2019 – Present(7 months)"
6638,"Artificial Intelligence Specialist","September 2017 – Present(2 years 7 months)"
6639,"Data Science Specialist","September 2017 – Present(2 years 7 months)"
6640,"Core Developer","September 2017 – Present(2 years 7 months)"
6641,"Co-Founder / Software Engineer","March 2017 – March 2019(2 years)Zagreb"
6642,"Computer Vision Developer","2018 – 2019"
6643,"ML/AI Consultant","2017 – 2019"
6644,"ML Engineer","2018 – 2018"
6645,"Developer","2018 – 2018"
6646,"Deep Learning Researcher, Research Engineer","August 2016 – November 2017(1 year 3 months)Zagreb"
6647,"Python Django Developer","2017 – 2017"
6648,"ML Engineer","2017 – 2017"
6649,"Doing Master of Science Thesis - Face Recognition using Deep Learning","March 2016 – July 2016(4 months)Zagreb"
6650,"Machine Learning/Data Mining Intern","July 2015 – August 2015(1 month)Zagreb, Croatia"
6651,"Django Developer","January 2015 – June 2015(5 months)Zagreb"
6652,"Software Engineering Intern","September 2014 – October 2014(1 month)Zagreb, Croatia"
6653,"Student Assistant at the Probability and Statistics course","March 2014 – June 2014(3 months)Zagreb, Croatia"
6654,"Founder and CEO","March 2018 – Present(2 years 1 month)Zagreb"
6655,"Full stack developer","May 2016 – Present(3 years 11 months)"
6656,"Senior Fullstack developer (via Toptal)","May 2019 – July 2019(2 months)"
6657,"Senior Fullstack Developer","September 2018 – May 2019(8 months)"
6658,"Full Stack Developer","March 2017 – May 2018(1 year 2 months)"
6659,"Developer","December 2016 – March 2017(3 months)"
6660,"Senior Fullstack Developer via Toptal","September 2016 – December 2016(3 months)"
6661,"IT Consultant and Developer via Jacobs, Cordova & Associates","December 2015 – July 2016(7 months)Sarajevo"
6662,"Founder Website.ba","August 2012 – Present(7 years 8 months)Sarajevo"
6672,"Software Engineer","April 2017 – October 2018(1 year 6 months)"
6673,"Programmer | Lead Game Developer","January 2015 – March 2017(2 years 2 months)"
6674,"Programmer | Server-Side Game Developer","June 2013 – December 2014(1 year 6 months)"
6675,"Tech Writer","October 2011 – June 2013(1 year 8 months)"
6676,"Software Engineer","October 2018 – Present(1 year 6 months)"
6683,"Researcher","March 2014 – Present(6 years 1 month)"
6684,"Senior Software Engineer","2007 – Present"
6685,"Senior Web Application Developer","January 2012 – December 2018(6 years 11 months)"
6686,"C++ Programmer","August 2012 – February 2014(1 year 6 months)"
6687,"Freelance Toptal Developer","February 2019 – Present(1 year 2 months)"
6688,"Senior Android Developer","September 2019 – March 2020(6 months)Tallinn, Estonia"
6689,"Remote Android Developer","November 2018 – August 2019(9 months)"
6690,"Remote Mobile Developer","January 2016 – January 2018(2 years)Freelance"
6691,"Android developer","August 2012 – December 2015(3 years 4 months)St. Petersburg"
6692,"Senior Android developer","April 2011 – July 2012(1 year 3 months)St. Peterburg"
6693,"Freelance Android developer","August 2010 – March 2011(7 months)"
6694,"Junior Researcher","June 2009 – February 2011(1 year 8 months)Vladivostok"
6695,".Net Developer","March 2008 – December 2008(9 months)Vladivostok"
6696,"Delphi Developer","February 2006 – March 2008(2 years 1 month)Vladivostok"
6697,"Senior Android Developer","November 2015 – Present(4 years 5 months)"
6698,"Design Lead","January 2019 – July 2019(6 months)Berlin Area, Germany"
6699,"Lead UX Designer & Researcher","July 2018 – December 2018(5 months)Berlin Area, Germany"
6700,"Sr UI & UX Designer","February 2016 – December 2016(10 months)Berlin Area, Germany"
6701,"Sr UI & UX Designer","September 2016 – November 2016(2 months)Berlin Area, Germany"
6702,"Co-Founder / Lead Designer","January 2015 – March 2016(1 year 2 months)Berlin Area, Germany"
6703,"Co-Founder / Lead Designer","August 2012 – December 2014(2 years 4 months)New Delhi Area, India"
6704,"Founder","January 2011 – July 2011(6 months)New Delhi Area, India"
6705,"Flash/Actionscript Designer & Developer","2008 – January 2011New Delhi Area, India"
